PsNo, DateTime, Cond, Order,FSQ,Condition,Block,Measure,Scenario,Scariness
62,30/11/2016 10:35,VAC,132,4.833333333,C,3,2,2,9
98,30/11/2016 14:18,VAC,132,2.722222222,C,3,2,2,2
134,09/12/2016 13:35,VAC,132,4.222222222,C,3,2,2,3
27,29/11/2016 12:20,VAC,213,2.388888889,C,3,2,3,7
63,30/11/2016 10:45,VAC,213,3.111111111,C,3,2,3,7
99,30/11/2016 14:40,VAC,213,4,C,3,2,3,9
135,09/12/2016 13:29,VAC,213,4.055555556,C,3,2,3,6
28,29/11/2016 12:31,VAC,231,1.611111111,C,3,2,1,2
100,30/11/2016 14:31,VAC,231,4.777777778,C,3,2,1,1
136,09/12/2016 14:35,VAC,231,4.166666667,C,3,2,1,4
29,29/11/2016 12:16,VAC,312,1.111111111,C,3,2,2,0
65,30/11/2016 11:17,VAC,312,1.055555556,C,3,2,2,0
101,30/11/2016 14:37,VAC,312,3.764705882,C,3,2,2,5
137,09/12/2016 12:35,VAC,312,1.333333333,C,3,2,2,0
30,29/11/2016 12:24,VAC,321,1.055555556,C,3,2,1,3
66,30/11/2016 11:28,VAC,321,1.833333333,C,3,2,1,0
102,30/11/2016 14:30,VAC,321,5.055555556,C,3,2,1,6
138,09/12/2016 12:40,VAC,321,1.777777778,C,3,2,1,1
31,29/11/2016 14:29,VCA,123,1.444444444,C,2,2,2,1
103,30/11/2016 14:35,VCA,123,1,C,2,2,2,0
139,09/12/2016 13:31,VCA,123,1.055555556,C,2,2,2,0
32,29/11/2016 15:16,VCA,132,6.444444444,C,2,2,3,9
68,30/11/2016 12:18,VCA,132,5.777777778,C,2,2,3,4
104,30/11/2016 14:38,VCA,132,2.111111111,C,2,2,3,4
69,30/11/2016 11:21,VCA,213,1.5,C,2,2,1,3
105,30/11/2016 14:59,VCA,213,2.722222222,C,2,2,1,4
33,29/11/2016 14:22,VCA,231,5.944444444,C,2,2,3,6
34,29/11/2016 14:47,VCA,231,1.277777778,C,2,2,3,1
106,30/11/2016 14:59,VCA,231,1.055555556,C,2,2,3,1
35,29/11/2016 15:02,VCA,312,2.944444444,C,2,2,1,4
71,30/11/2016 12:27,VCA,312,1.611111111,C,2,2,1,3
107,30/11/2016 15:01,VCA,312,3.5,C,2,2,1,6
36,29/11/2016 14:11,VCA,321,3.5,C,2,2,2,8
72,30/11/2016 11:41,VCA,321,1,C,2,2,2,0
108,30/11/2016 14:56,VCA,321,2.555555556,C,2,2,2,1
37,29/11/2016 14:18,ACV,123,1.222222222,A,1,1,1,3
73,30/11/2016 12:11,ACV,123,4,A,1,1,1,2
109,09/12/2016 10:59,ACV,123,1.722222222,A,1,1,1,1
2,28/11/2016 11:27,ACV,132,2.666666667,A,1,1,1,5
38,29/11/2016 14:38,ACV,132,3.888888889,A,1,1,1,2
74,30/11/2016 12:53,ACV,132,5.666666667,A,1,1,1,4
110,09/12/2016 10:06,ACV,132,3.055555556,A,1,1,1,2
3,28/11/2016 10:44,ACV,213,2.055555556,A,1,1,2,4
39,29/11/2016 14:28,ACV,213,1.555555556,A,1,1,2,3
75,30/11/2016 14:12,ACV,213,5.666666667,A,1,1,2,6
111,09/12/2016 09:56,ACV,213,1.166666667,A,1,1,2,0
4,28/11/2016 11:22,ACV,231,1.611111111,A,1,1,2,3
40,29/11/2016 14:40,ACV,231,4.944444444,A,1,1,2,1
76,30/11/2016 11:51,ACV,231,1.611111111,A,1,1,2,6
112,09/12/2016 11:11,ACV,231,3.333333333,A,1,1,2,0
5,28/11/2016 10:25,ACV,312,4.944444444,A,1,1,3,6
6,28/11/2016 11:03,ACV,312,3.833333333,A,1,1,3,8
41,29/11/2016 14:33,ACV,312,1.944444444,A,1,1,3,5
77,30/11/2016 12:49,ACV,312,3.111111111,A,1,1,3,8
113,09/12/2016 09:02,ACV,312,6.388888889,A,1,1,3,10
42,29/11/2016 14:33,ACV,321,2.944444444,A,1,1,3,2
78,30/11/2016 14:03,ACV,321,2.166666667,A,1,1,3,7
114,09/12/2016 09:10,ACV,321,5.666666667,A,1,1,3,7
7,28/11/2016 10:45,AVC,123,2.722222222,A,1,1,1,4
43,29/11/2016 15:35,AVC,123,4.277777778,A,1,1,1,7
79,30/11/2016 12:58,AVC,123,3.944444444,A,1,1,1,4
115,09/12/2016 09:59,AVC,123,1,A,1,1,1,0
8,28/11/2016 10:51,AVC,132,2.777777778,A,1,1,1,3
44,29/11/2016 14:37,AVC,132,4.777777778,A,1,1,1,6
80,30/11/2016 12:45,AVC,132,4.888888889,A,1,1,1,5
116,09/12/2016 12:44,AVC,132,3.611111111,A,1,1,1,3
9,28/11/2016 10:50,AVC,213,2.222222222,A,1,1,2,1
45,29/11/2016 14:56,AVC,213,1.055555556,A,1,1,2,0
81,30/11/2016 12:56,AVC,213,4,A,1,1,2,7
